image_id,style,building_name,source,source_url,original_filename,resolution,aspect_ratio,architectural_elements,materials,license,copyright,split,caption
ARC_0001,Brutalism architecture,Arnulfsplatz  Regensburg 013,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/d/da/Arnulfsplatz_-_Regensburg_013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Arnulfsplatz - Regensburg 013.jpg,1536x1024,1.5,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0002,Brutalism architecture,Biurowiec ZREMB Wrocław 20260105,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/f/f1/Biurowiec_ZREMB%2C_Wroc%C5%82aw_%282026-01-05%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:Biurowiec ZREMB, Wrocław (2026-01-05).jpg",1365x1024,1.33,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0003,Brutalism architecture,Amenity building university of Bath1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/7/7f/Amenity_building_university_of_Bath1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Amenity building university of Bath1.jpg,1024x1024,1.0,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY 2.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0004,Brutalism architecture,Bike path bridge and the Palácio da Justiça,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/2/2a/Bike_path%2C_bridge%2C_and_the_Pal%C3%A1cio_da_Justi%C3%A7a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:Bike path, bridge, and the Palácio da Justiça.jpg",1574x1024,1.54,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0005,Brutalism architecture,20210802Kaiserburgbahn1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/2021-08-02-Kaiserburgbahn-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:2021-08-02-Kaiserburgbahn-1.jpg,1536x1024,1.5,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0006,Brutalism architecture,Androclusgebouw,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6a/Androclusgebouw.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Androclusgebouw.jpg,1536x1024,1.5,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0007,Brutalism architecture,Beograd 45063391832,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/c/c6/Beograd_%2845063391832%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Beograd (45063391832).jpg,1536x1024,1.5,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY 2.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0008,Brutalism architecture,Aanzicht tribune Koning Boudewijnstadion in KesselLo een dee,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/9/96/Aanzicht_tribune_Koning_Boudewijnstadion_in_Kessel-Lo_%28een_deelgemeente_van_Leuven%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Aanzicht tribune Koning Boudewijnstadion in Kessel-Lo (een deelgemeente van Leuven).jpg,1365x1024,1.33,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0009,Brutalism architecture,Bad Tatzmannsdorf  Apotheke Zur göttlichen Vorsehung,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6f/Bad_Tatzmannsdorf_-_Apotheke_Zur_g%C3%B6ttlichen_Vorsehung.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Bad Tatzmannsdorf - Apotheke Zur göttlichen Vorsehung.jpg,1639x1024,1.6,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0010,Brutalism architecture,Bank of Finland Helsinki  DSC05358.JPG,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/b0/Bank_of_Finland%2C_Helsinki_-_DSC05358.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:Bank of Finland, Helsinki - DSC05358.JPG",1365x1024,1.33,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
