style,image_id_1,image_id_2,similarity,flag
Brutalism architecture,ARC_0001,ARC_0004,0.704,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0006,0.7182,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0007,0.729,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0008,0.7266,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0009,0.7521,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0010,0.7671,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0012,0.7427,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0013,0.788,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0014,0.8097,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0015,0.7113,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0016,0.7345,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0017,0.747,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0018,0.773,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0020,0.8381,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0021,0.8218,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0023,0.7473,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0024,0.7109,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0025,0.7191,MODERATE_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0026,0.8218,HIGH_SIMILARITY
Brutalism architecture,ARC_0001,ARC_0028,0.7963,HIGH_SIMILARITY
Brutalism architecture,ARC_0002,ARC_0003,0.7044,MODERATE_SIMILARITY
Brutalism architecture,ARC_0002,ARC_0011,0.739,MODERATE_SIMILARITY
Brutalism architecture,ARC_0002,ARC_0012,0.7068,MODERATE_SIMILARITY
Brutalism architecture,ARC_0002,ARC_0015,0.7406,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0004,0.7427,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0006,0.7256,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0008,0.7348,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0009,0.7125,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0010,0.7383,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0012,0.7093,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0016,0.7664,HIGH_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0017,0.8246,HIGH_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0018,0.8217,HIGH_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0020,0.7131,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0021,0.7064,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0024,0.7097,MODERATE_SIMILARITY
Brutalism architecture,ARC_0003,ARC_0026,0.7515,HIGH_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0006,0.7791,HIGH_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0008,0.7169,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0009,0.7554,HIGH_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0010,0.7027,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0013,0.7166,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0016,0.7219,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0017,0.7707,HIGH_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0018,0.7387,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0020,0.7207,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0021,0.7144,MODERATE_SIMILARITY
Brutalism architecture,ARC_0004,ARC_0026,0.7038,MODERATE_SIMILARITY
Brutalism architecture,ARC_0006,ARC_0010,0.7802,HIGH_SIMILARITY
Brutalism architecture,ARC_0006,ARC_0011,0.7577,HIGH_SIMILARITY
Brutalism architecture,ARC_0006,ARC_0012,0.7681,HIGH_SIMILARITY
