image_id,filename,width,height,aspect_ratio,file_size_bytes,image_format,color_mode,readable,in_master_csv,error_notes
ARC_0001,ARC_0001.jpg,1536,1024,1.50,472828,JPEG,RGB,True,True,
ARC_0002,ARC_0002.jpg,1365,1024,1.33,699308,JPEG,RGB,True,True,
ARC_0003,ARC_0003.jpg,1024,1024,1.00,329175,JPEG,RGB,True,True,
ARC_0004,ARC_0004.jpg,1574,1024,1.54,707067,JPEG,RGB,True,True,
ARC_0005,ARC_0005.jpg,1536,1024,1.50,617854,JPEG,RGB,True,True,
ARC_0006,ARC_0006.jpg,1536,1024,1.50,724153,JPEG,RGB,True,True,
ARC_0007,ARC_0007.jpg,1536,1024,1.50,606211,JPEG,RGB,True,True,
ARC_0008,ARC_0008.jpg,1365,1024,1.33,440645,JPEG,RGB,True,True,
ARC_0009,ARC_0009.jpg,1639,1024,1.60,785211,JPEG,RGB,True,True,
ARC_0010,ARC_0010.jpg,1365,1024,1.33,457585,JPEG,RGB,True,True,
ARC_0011,ARC_0011.jpg,1024,1360,0.75,702567,JPEG,RGB,True,True,
ARC_0012,ARC_0012.jpg,1024,1360,0.75,711321,JPEG,RGB,True,True,
ARC_0013,ARC_0013.jpg,1360,1024,1.33,628332,JPEG,RGB,True,True,
ARC_0014,ARC_0014.jpg,1024,1360,0.75,636717,JPEG,RGB,True,True,
ARC_0015,ARC_0015.jpg,1024,1360,0.75,583917,JPEG,RGB,True,True,
ARC_0016,ARC_0016.jpg,1365,1024,1.33,551511,JPEG,RGB,True,True,
ARC_0017,ARC_0017.jpg,1365,1024,1.33,672342,JPEG,RGB,True,True,
ARC_0018,ARC_0018.jpg,1365,1024,1.33,505129,JPEG,RGB,True,True,
ARC_0019,ARC_0019.jpg,1024,1111,0.92,403015,JPEG,RGB,True,True,
ARC_0020,ARC_0020.jpg,1024,1365,0.75,579928,JPEG,RGB,True,True,
ARC_0021,ARC_0021.jpg,1301,1024,1.27,435324,JPEG,RGB,True,True,
ARC_0022,ARC_0022.jpg,1365,1024,1.33,301793,JPEG,RGB,True,True,
ARC_0023,ARC_0023.jpg,1365,1024,1.33,428834,JPEG,RGB,True,True,
ARC_0024,ARC_0024.jpg,1820,1024,1.78,843833,JPEG,RGB,True,True,
ARC_0025,ARC_0025.jpg,1365,1024,1.33,421025,JPEG,RGB,True,True,
ARC_0026,ARC_0026.jpg,1024,1365,0.75,455180,JPEG,RGB,True,True,
ARC_0027,ARC_0027.jpg,1024,1316,0.78,517457,JPEG,RGB,True,True,
ARC_0028,ARC_0028.jpg,1024,1240,0.83,398342,JPEG,RGB,True,True,
ARC_0029,ARC_0029.jpg,1000,1000,1.00,213719,JPEG,RGB,True,True,
ARC_0030,ARC_0030.jpg,1000,1000,1.00,190589,JPEG,RGB,True,True,
ARC_0031,ARC_0031.jpg,1000,953,1.05,334057,JPEG,RGB,True,True,
ARC_0032,ARC_0032.jpg,936,936,1.00,202124,JPEG,RGB,True,True,
