image_id,style,source,source_url,license,copyright,provenance_status,notes
ARC_0001,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/d/da/Arnulfsplatz_-_Regensburg_013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0002,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/f/f1/Biurowiec_ZREMB%2C_Wroc%C5%82aw_%282026-01-05%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0003,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/7/7f/Amenity_building_university_of_Bath1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 2.0).
ARC_0004,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/2/2a/Bike_path%2C_bridge%2C_and_the_Pal%C3%A1cio_da_Justi%C3%A7a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0005,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/2021-08-02-Kaiserburgbahn-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0006,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6a/Androclusgebouw.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0007,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/c/c6/Beograd_%2845063391832%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 2.0).
ARC_0008,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/9/96/Aanzicht_tribune_Koning_Boudewijnstadion_in_Kessel-Lo_%28een_deelgemeente_van_Leuven%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0009,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6f/Bad_Tatzmannsdorf_-_Apotheke_Zur_g%C3%B6ttlichen_Vorsehung.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0010,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/b0/Bank_of_Finland%2C_Helsinki_-_DSC05358.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC0).
