generated_image,closest_training_image,similarity,flag
lora_eval_01.jpg,ARC_0020,0.8041,MODERATE_SIMILARITY
lora_eval_02.jpg,ARC_0017,0.7505,MODERATE_SIMILARITY
lora_eval_03.jpg,ARC_0018,0.8581,HIGH_SIMILARITY
lora_eval_04.jpg,ARC_0012,0.7908,MODERATE_SIMILARITY
lora_eval_05.jpg,ARC_0012,0.7804,MODERATE_SIMILARITY
lora_eval_06.jpg,ARC_0018,0.8541,HIGH_SIMILARITY
lora_eval_07.jpg,ARC_0010,0.7528,MODERATE_SIMILARITY
lora_eval_08.jpg,ARC_0011,0.6017,NOVEL_COMPOSITION
lora_eval_09.jpg,ARC_0015,0.763,MODERATE_SIMILARITY
lora_eval_10.jpg,ARC_0006,0.7509,MODERATE_SIMILARITY
lora_eval_11.jpg,ARC_0018,0.7189,MODERATE_SIMILARITY
lora_eval_12.jpg,ARC_0006,0.7863,MODERATE_SIMILARITY
